;;X long; Y lat;siren;nom;PLCI norme;plci;Nom de l'Entreprise 
;;5,063885;45,338017;193821014;2402;0.197398184187396;1.62679425837321;COLLEGE JACQUES BREL
;;5,73848;45,388433;263800252;2501;0.195555409781524;1.62087326943557;HOPITAL DE SAINT LAURENT DU PONT
;;5,442591;45,347607;408306371;1102;0.190497839407298;1.60462287104623;BRCM
;;;;820294981;2080;0.189920833650659;1.60276890308839;
;;5,277752;45,587227;824743868;2108;0.189059074948291;1.6;ICFI
;;5,107835;45,643197;339827834;666;0.183255023180066;1.581351094196;MATEL GROUP
;;;;263800195;3236;0.180723320437559;1.57321652065081;EHPAD RENE MARION
;;5,485109;45,332927;213803323;2468;0.180209571483766;1.57156580211335;COMMUNE DE RENAGE
;;5,803172;45,239984;213800451;179;0.179370153448786;1.56886868146563;COMMUNE DE BIVIERS
;;5,956573;45,308177;213805013;295;0.179370153448786;1.56886868146563;COMMUNE DE TENCIN
;;;;334763943;639;0.179370153448786;1.56886868146563;SOC DE TRAVAUX PUBLICS DU GRESIVAUDAN
;;;;445113855;1359;0.179370153448786;1.56886868146563;SOLID'ACTION
;;5,804162;45,2374;801252719;2019;0.179370153448786;1.56886868146563;OVE
;;5,816468;45,238975;422269290;3357;0.179370153448786;1.56886868146563;BERLIDIS
;;5,977110013;45,43364098;213800279;177;0.179286915291573;1.56860123027547;COMMUNE DE BARRAUX
;;5,908889;45,306406;213802143;240;0.179286915291573;1.56860123027547;COMMUNE DE LUMBIN
;;5,995568;45,301525;213805047;297;0.179286915291573;1.56860123027547;COMMUNE DE THEYS
;;5,916298;45,309024;811693902;2060;0.179286915291573;1.56860123027547;GRESIVAUDAN SYNERGIES ASSOCIATIVES
;;5,874883;45,111403;213805674;2480;0.179286915291573;1.56860123027547;COMMUNE DE CHAMROUSSE
;;;;775595887;3001;0.179286915291573;1.56860123027547;SAUVEGARDE ISERE - ASSOCIATION DE PROTECTION DE L'ENFANCE ET D'ACCOMPAGNEMENT DES ADULTES
;;5,998762;45,30056;57500902;3132;0.179286915291573;1.56860123027547;ENTREPRISE MIDALI FRERES
;;5,978092;45,343234;193831252;148;0.179203677134361;1.56833377908532;COLLEGE GONCELIN
;;5,965984;45,271823;213800022;170;0.179203677134361;1.56833377908532;COMMUNE DES ADRETS
;;5,990489;45,463195;213800758;190;0.179203677134361;1.56833377908532;COMMUNE DE CHAPAREILLAN
;;;;338234891;648;0.179203677134361;1.56833377908532;SODISTOUR
;;5,977348;45,339958;343333126;717;0.179203677134361;1.56833377908532;ASS POUR DEVELOPPEMENT EMPLOI FORMATION
;;5,994695012;45,426661;440233104;1315;0.179203677134361;1.56833377908532;CARRARD SERVICES
;;5,994455;45,425266;751711169;1814;0.179203677134361;1.56833377908532;MANANG
;;5,969573;45,326188;912339173;2256;0.179203677134361;1.56833377908532;SATMA INDUSTRIES
;;5,988073;45,419734;356000000;2681;0.179203677134361;1.56833377908532;LA POSTE
;;5,995531;45,256751;922011044;3115;0.179203677134361;1.56833377908532;LE COLLET
;;;;70503446;3150;0.179203677134361;1.56833377908532;SOCIETE D'EXPLOITATION MONTAGNE ET LOISIRS DU GRESIVAUDAN
;;;;340110311;3284;0.179203677134361;1.56833377908532;ALLIBERT GUIDES DE HAUTE MONTAGNE
;;5,994695012;45,426661;399506641;3701;0.179203677134361;1.56833377908532;ATALIAN PROPRETE
;;5,851539;45,246932;213804313;278;0.179120438977149;1.56806632789516;COMMUNE DE SAINT NAZAIRE LES EYMES
;;;;213805039;296;0.179120438977149;1.56806632789516;COMMUNE DE LA TERRASSE
;;;;331497842;607;0.179120438977149;1.56806632789516;MENUISERIE ANZALONE
;;;;393613609;1002;0.179120438977149;1.56806632789516;AIRSTAR
;;5,853522;45,259661;398183095;1024;0.179120438977149;1.56806632789516;CHARPENTES CONTEMPORAINES
;;5,93472;45,327615;424620227;1219;0.179120438977149;1.56806632789516;UNION GESTION ETS CAISSES ASSUR MALADIE
;;;;501120729;1545;0.179120438977149;1.56806632789516;NIPPON PAINT AUTOMOTIVE FRANCE
;;;;510277478;1596;0.179120438977149;1.56806632789516;KAENA
;;;;519209100;1626;0.179120438977149;1.56806632789516;CARTONNAGES DU DAUPHINE
;;5,933183;45,285696;692039696;1772;0.179120438977149;1.56806632789516;AHLSTROM BRIGNOUD
;;;;798697868;2004;0.179120438977149;1.56806632789516;LE PAIN DES EYMES
;;5,926259;45,313012;830549804;2119;0.179120438977149;1.56806632789516;CUKI FRANCE
;;5,93119;45,32496;775595846;2993;0.179120438977149;1.56806632789516;MUTUALITE FRANCAISE ISERE SERVICES SOINS ET ACCOMPAGNEMENT MUTUALISTE
;;5,954566;45,36858;779624527;3049;0.179120438977149;1.56806632789516;ASSOCIATION MARC SIMIAN ACCUEIL DES PERSONNES AGEES
;;6,075517;45,39949;193800026;124;0.179037200819937;1.567798876705;COLLEGE FLAVIUS VAUSSENAT
;;5,910303;45,260925;253802698;319;0.179037200819937;1.567798876705;SYND GESTION ET ANIMATION DU CTRE SOCIAL
;;6,077344;45,395613;378621767;864;0.179037200819937;1.567798876705;ADMR DU PAYS D ALLEVARD
;;;;421243841;1185;0.179037200819937;1.567798876705;JOUBERT FRANCE
;;6,076946;45,394411;439975640;1310;0.179037200819937;1.567798876705;FONDATION PARTAGE ET VIE
;;5,993134;45,373237;449921576;1382;0.179037200819937;1.567798876705;INGENIE
;;;;552081317;1722;0.179037200819937;1.567798876705;ELECTRICITE DE FRANCE
;;;;786255281;1951;0.179037200819937;1.567798876705;ASS DEP PUPILLES ENSEIGNEMENT PUBLIC
;;5,997274;45,383659;811828086;2061;0.179037200819937;1.567798876705;SYLFEN
;;;;889679817;2212;0.179037200819937;1.567798876705;B2L
;;5,921248;45,27373;200018166;2441;0.179037200819937;1.567798876705;COMMUNAUTE DE COMMUNES LE GRESIVAUDAN
;;6,075521;45,394377;213800063;2451;0.179037200819937;1.567798876705;COMMUNE D ALLEVARD
;;5,996977;45,395211;327389821;2595;0.179037200819937;1.567798876705;BOIS DU DAUPHINE
;;5,997274;45,383659;381263540;2694;0.179037200819937;1.567798876705;SIBUET
;;5,998507;45,385791;61500864;3143;0.179037200819937;1.567798876705;WINOA
;;5,921299;45,270452;509628798;3408;0.179037200819937;1.567798876705;AMCOR FLEXIBLES PACKAGING FRANCE SAS
;;;;315652933;505;0.178953962662724;1.56753142551484;ALTACAN
;;5,876628;45,265292;381128859;901;0.178953962662724;1.56753142551484;CAPSYS
;;;;408814705;1110;0.178953962662724;1.56753142551484;SESAME AUTISME RHONE ALPES
;;;;438452039;1294;0.178953962662724;1.56753142551484;EUROMAG
;;5,87612;45,264088;453413692;1403;0.178953962662724;1.56753142551484;PLASMA-THERM EUROPE
;;;;498285014;1522;0.178953962662724;1.56753142551484;ETABLISSEMENT THERMAL D'URIAGE - ETU
;;5,879087;45,263903;527590871;1656;0.178953962662724;1.56753142551484;FLUID'INOX
;;;;789139789;1965;0.178953962662724;1.56753142551484;COLRUYT RETAIL FRANCE
;;;;795229301;1997;0.178953962662724;1.56753142551484;STEELMAG INTERNATIONAL
;;5,869577;45,260521;849568530;2160;0.178953962662724;1.56753142551484;SOITEC LAB
;;5,830292;45,141087;900605833;2235;0.178953962662724;1.56753142551484;BOUILLON A
;;;;200055556;2446;0.178953962662724;1.56753142551484;COMMUNE DE CRETS EN BELLEDONNE
