seed;N;num_neigh_seeds;num_adopters;PLci;PLci_norm;degree;betweenness;eigen;percolation
1;3739;2;3739;1.51778550414549;0.163471665421246;2103;5141.80951023275;0.45418547740599;0
2;3739;2;3;1.04392892398815;0.0159944809229316;4032;1026.07827458694;0.948269821615178;0
3;3739;2;3739;1.48167959347419;0.152234514197593;2136;5006.65370592864;0.484224136821791;0
4;3739;2;3739;1.48221449585451;0.152400990512017;2170;1166.15127437001;0.492946562107057;0
5;3739;2;3739;1.53196041722386;0.167883287753495;1937;1074.44619131496;0.430069246544874;0
6;3739;2;3739;1.41749130783632;0.132257356466653;2855;6255.96138105869;0.668004363429442;0
7;3739;2;3739;1.41749130783632;0.132257356466653;3960;1031.23495038366;0.937629014962516;0
8;3739;2;3739;1.51778550414549;0.163471665421246;3679;1723.42552799663;0.859662502183518;0
9;3739;2;3739;1.48702861727735;0.153899277341838;3998;386.285516653186;0.942778499951758;0
10;3739;2;3739;1.56726397432469;0.178870724505512;3698;280.556442494131;0.87310223995536;0
11;3739;2;3;2.81634485855411;0.567619007700514;2285;5491.17812373914;0.508567390709393;0
12;3739;2;3739;1.47793527681198;0.151069179996621;4032;1042.30209305074;0.948253708746091;0
13;3739;2;3739;1.48167959347419;0.152234514197593;4018;809.857286601592;0.94599549531214;0
14;3739;2;3739;1.48702861727735;0.153899277341838;3998;350.896371542793;0.942829905713819;0
15;3739;2;3739;1.55897298742979;0.176290341631932;3729;626.785514252909;0.87823765793343;0
16;3739;2;3739;1.52794864937149;0.166634715395312;3845;1441.24360222064;0.896318255909627;0
17;3739;2;3739;1.88232147633057;0.276925273701541;2638;2826.94265327496;0.546934510987211;0
18;3739;2;3739;1.48221449585451;0.152400990512017;4016;782.297973881454;0.945658023831029;0
19;3739;2;3;1.21182266009852;0.0682476236106171;4000;537.929375957769;0.943080878826242;0
20;3739;2;3739;1.41749130783632;0.132257356466653;4258;1352.07582588908;0.999999999999999;0
21;3739;2;3739;1.41749130783632;0.132257356466653;4258;1352.07582588908;0.999999999999999;0
22;3739;2;3739;2.00909334046537;0.316380160220147;2173;4722.22336047827;0.496385445524279;0
23;3739;2;3739;1.53196041722386;0.167883287753495;3830;1139.37570655909;0.894200384930131;0
24;3739;2;3739;1.46884193634662;0.148239082651405;4066;1280.48385677905;0.954217316517906;0
25;3739;2;3739;1.41749130783632;0.132257356466653;4258;1352.07582588908;0.999999999999999;0
26;3739;2;3739;1.87991441561915;0.276176130286631;2659;2873.82391602254;0.548313224722832;0
27;3739;2;3739;1.41749130783632;0.132257356466653;4258;1352.07582588908;0.999999999999999;0
28;3739;2;3739;1.41749130783632;0.132257356466653;4258;1352.07582588908;0.999999999999999;0
29;3739;2;3;2.94211224038886;0.606761271734403;2147;5509.06808458937;0.493830787139413;0
30;3739;2;3739;1.41749130783632;0.132257356466653;4258;1352.07582588908;0.999999999999999;0
31;3739;2;3739;1.52901845413212;0.166967668024161;3841;1248.60282265308;0.895911557017836;0
32;3739;2;3739;1.9023803155924;0.28316813549246;2483;2425.63521813084;0.530135251253866;0
33;3739;2;3739;1.48702861727735;0.153899277341838;3998;350.896371542793;0.942829905713819;0
34;3739;2;3739;1.56565926718374;0.178371295562239;3704;402.083997503155;0.874065299714919;0
35;3739;2;3739;1.989836854774;0.310387012900865;2203;3251.9725193688;0.498368517505391;0
36;3739;2;3;2.82698815566836;0.570931494131888;2285;5491.17812373914;0.508567390709393;0
37;3739;2;3739;1.41749130783632;0.132257356466653;4258;1352.07582588908;0.999999999999999;0
38;3739;2;3739;1.41749130783632;0.132257356466653;4258;1352.07582588908;0.999999999999999;0
39;3739;2;3739;1.94650976196844;0.296902431432481;2315;5708.0157099854;0.511931228788724;0
40;3739;2;3739;1.41749130783632;0.132257356466653;4258;1352.07582588908;0.999999999999999;0
41;3739;2;3739;1.94918427387002;0.297734813004603;2295;5521.69488312704;0.509851955489696;0
42;3739;2;3739;1.46884193634662;0.148239082651405;4066;1280.48385677905;0.954217316517906;0
43;3739;2;3739;1.46884193634662;0.148239082651405;4066;1280.48385677905;0.954217316517906;0
44;3739;2;3739;1.52901845413212;0.166967668024161;3841;1248.60282265308;0.895911557017836;0
45;3739;2;3739;1.48167959347419;0.152234514197593;4018;809.857286601592;0.94599549531214;0
46;3739;2;3739;1.93902112864402;0.294571763030538;2412;3194.98061539248;0.520182529804044;0
