id;label;siren;long;lat;PLCI norme;Plci
1;S A FONDERIE BOT;54501465;5,596953;45,361092;0.163471665421246;1.51778550414549
2;SET - HUILLIER - SOCI;54502109;5,6726;45,239941;0.0159944809229316;1.04392892398815
3;OPL BYMYCAR;54502109;5,6811;45,190442;0.152234514197593;1.48167959347419
4;BRUN INVEST SAS;54502166;5,749486;45,155213;0.152400990512017;1.48221449585451
5;CHAUVIN;54502190;5,601053;45,318514;0.167883287753495;1.53196041722386
6;RICHARDSON;54800958;5,729424;45,17162;0.132257356466653;1.41749130783632
7;SAFILAF SA;55500730;5,735611;45,18867;0.132257356466653;1.41749130783632
8;REGISTRES LE DAUPHIN;55500953;5,583178;45,364704;0.163471665421246;1.51778550414549
9;APPAREILS SCIENTIFIQ;55503130;5,679361;45,111566;0.153899277341838;1.48702861727735
10;ATELIERS DU GRAND CHATELET;55503528;;;0.178870724505512;1.56726397432469
11;DEPAGNE;56500382;;;0.567619007700514;2.81634485855411
12;DEPAGNE;56500382;5,795769;45,213614;0.151069179996621;1.47793527681198
13;COQUAND;56500465;5,679893;45,202261;0.152234514197593;1.48167959347419
14;COLLET ET AMBLARD;56501166;5,62208;45,263594;0.153899277341838;1.48702861727735
15;IMPRIMERIE NOTRE-DAME MARTIN PERE FILS;56501612;;;0.176290341631932;1.55897298742979
16;SAMSE;56502248;;;0.166634715395312;1.52794864937149
17;SAMSE;56502248;5,128878;45,644383;0.276925273701541;1.88232147633057
18;SAMSE;56502248;5,737067;45,149519;0.152400990512017;1.48221449585451
19;ETS DOUCET;56502438;5,693992;45,162144;0.0682476236106171;1.21182266009852
20;BMRA;56503097;5,722707;45,172014;0.132257356466653;1.41749130783632
21;BMRA;56503097;5,704196;45,174922;0.132257356466653;1.41749130783632
22;SA GRAND HOTEL PARIS;57500050;5,552194;45,071184;0.316380160220147;2.00909334046537
23;SOCIETE LEBON ET VERNAY;57500662;;;0.167883287753495;1.53196041722386
24;DERVIEUX;57501132;;;0.148239082651405;1.46884193634662
25;GIGNOUX LEMAIRE;57501975;5,724866;45,191139;0.132257356466653;1.41749130783632
26;LE DAUPHINE LIBERE;57502742;5,274589;45,590678;0.276176130286631;1.87991441561915
27;LE DAUPHINE LIBERE;57502742;5,703064;45,184078;0.132257356466653;1.41749130783632
